sample_id	species	population	coverage
BOB001	Colinus_virginianus	Louisiana	8.9
BOB002	Colinus_virginianus	Louisiana	7.0
BOB003	Colinus_virginianus	Louisiana	7.8
BOB004	Colinus_virginianus	Louisiana	28.3
BOB005	Colinus_virginianus	Louisiana	34.0
BOB006	Colinus_virginianus	Louisiana	23.7
BOB007	Colinus_virginianus	Louisiana	16.1
BOB008	Colinus_virginianus	Louisiana	4.9
BOB009	Colinus_virginianus	Texas	15.7
BOB010	Colinus_virginianus	Texas	29.6
BOB011	Colinus_virginianus	Texas	19.3
BOB012	Colinus_virginianus	Texas	10.0
BOB013	Colinus_virginianus	Texas	23.1
BOB014	Colinus_virginianus	Texas	5.6
BOB015	Colinus_virginianus	Texas	6.0
BOB016	Colinus_nigrogularis	Yucatan	33.7
BOB017	Colinus_nigrogularis	Yucatan	16.6
BOB018	Colinus_nigrogularis	Yucatan	26.1
BOB019	Colinus_nigrogularis	Yucatan	10.6
BOB020	Colinus_nigrogularis	Yucatan	4.7
